user_name,rep_id,valid_rep,depth_fault,valgus_fault,trunk_fault,bottom_timestamp_ms_human
mayoa,1,1,0,0,0,1757429213356
mayoa,2,1,0,0,0,1757429219262
mayoa,3,1,0,0,0,1757429224564
mayoa,4,1,0,0,1,1757429234736
mayoa,5,1,0,0,0,1757429248036
mayoa,6,1,0,0,0,1757429258308
mayoa,7,1,0,0,0,1757429268258
mayoa,8,1,0,0,1,1757429281516
mayoa,9,1,0,0,0,1757429286443
mayoa,10,1,0,0,0,1757429290584
mayob,1,1,0,0,0,1757429718949
mayob,2,1,1,0,0,1757429724804
mayob,3,1,0,0,0,1757429729908
mayob,4,1,0,0,0,1757429735413
mayob,5,1,0,0,0,1757429740388
mayob,6,1,0,0,0,1757429745235
mayob,7,1,0,0,0,1757429749279
mayob,8,1,0,0,0,1757429752886
mayob,9,1,0,0,0,1757429756590
mayob,10,1,0,0,0,1757429761609
ibrab,1,1,0,0,1,1757430536972
ibrab,2,1,0,0,0,1757430540334
ibrab,3,1,0,0,0,1757430545377
ibrab,4,1,0,0,0,1757430549439
ibrab,5,1,0,0,0,1757430553266
ibrab,6,1,0,0,0,1757430559998
ibrab,7,1,0,0,0,1757430564965
ibrab,8,1,1,0,0,1757430603563
ibrab,9,1,0,0,0,1757430607448
ibrab,10,1,0,1,0,1757430611561
ibraa,1,1,0,0,1,1757430792588
ibraa,2,1,0,0,0,1757430795847
ibraa,3,1,1,0,0,1757430799669
ibraa,4,1,0,0,0,1757430803285
ibraa,5,1,0,0,0,1757430807959
ibraa,6,1,0,0,0,1757430815786
ibraa,7,1,0,0,0,1757430819823
ibraa,8,1,1,0,0,1757430823943
ibraa,9,1,0,0,0,1757430832298
ibraa,10,1,0,0,0,1757430865326
mitcha,1,1,0,0,0,1757431022957
mitcha,2,1,0,1,0,1757431027816
mitcha,3,1,0,0,0,1757431032015
mitcha,4,1,0,0,0,1757431036706
mitcha,5,1,0,0,1,1757431040773
mitcha,6,1,1,0,0,1757431045538
mitcha,7,1,0,1,0,1757431050589
mitcha,8,1,0,1,0,1757431055076
mitcha,9,1,0,0,0,1757431059375
mitcha,10,1,1,0,1,1757431063519
mitchb,1,1,0,0,0,1757431196612
mitchb,2,1,0,0,0,1757431202306
mitchb,3,1,0,0,0,1757431207487
mitchb,4,1,0,0,0,1757431212085
mitchb,5,1,0,0,0,1757431218464
mitchb,6,1,0,0,0,1757431223642
mitchb,7,1,1,0,0,1757431228307
mitchb,8,1,0,0,1,1757431233770
mitchb,9,1,0,0,0,1757431239219
mitchb,10,1,0,0,0,1757431244683
